filename,condition,sample_name,biorep,histone
processed_brain_3mo_2-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,brain_3mo,brain_3mo_2,2,H3.3
processed_brain_3mo_3-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,brain_3mo,brain_3mo_3,3,H3.2
processed_brain_3mo_3-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,brain_3mo,brain_3mo_3,3,H3.3
processed_brain_3mo_4-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,brain_3mo,brain_3mo_4,4,H3.2
processed_brain_3mo_4-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,brain_3mo,brain_3mo_4,4,H3.3
processed_brain_5mo_1-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,brain_5mo,brain_5mo_1,1,H3.2
processed_brain_5mo_1-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,brain_5mo,brain_5mo_1,1,H3.3
processed_brain_5mo_2-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,brain_5mo,brain_5mo_2,2,H3.2
processed_brain_5mo_2-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,brain_5mo,brain_5mo_2,2,H3.3
processed_brain_5mo_3-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,brain_5mo,brain_5mo_3,3,H3.2
processed_brain_5mo_3-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,brain_5mo,brain_5mo_3,3,H3.3
processed_brain_5mo_4-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,brain_5mo,brain_5mo_4,4,H3.2
processed_brain_5mo_4-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,brain_5mo,brain_5mo_4,4,H3.3
processed_brain_10mo_1-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,brain_10mo,brain_10mo_1,1,H3.2
processed_brain_10mo_1-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,brain_10mo,brain_10mo_1,1,H3.3
processed_brain_10mo_2-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,brain_10mo,brain_10mo_2,2,H3.2
processed_brain_10mo_2-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,brain_10mo,brain_10mo_2,2,H3.3
processed_brain_10mo_3-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,brain_10mo,brain_10mo_3,3,H3.2
processed_brain_10mo_3-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,brain_10mo,brain_10mo_3,3,H3.3
processed_brain_10mo_4-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,brain_10mo,brain_10mo_4,4,H3.2
processed_brain_10mo_4-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,brain_10mo,brain_10mo_4,4,H3.3
processed_brain_18mo_1-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,brain_18mo,brain_18mo_1,1,H3.2
processed_brain_18mo_1-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,brain_18mo,brain_18mo_1,1,H3.3
processed_brain_18mo_2-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,brain_18mo,brain_18mo_2,2,H3.2
processed_brain_18mo_2-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,brain_18mo,brain_18mo_2,2,H3.3
processed_brain_24mo_1-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,brain_24mo,brain_24mo_1,1,H3.2
processed_brain_24mo_1-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,brain_24mo,brain_24mo_1,1,H3.3
processed_brain_24mo_2-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,brain_24mo,brain_24mo_2,2,H3.2
processed_brain_24mo_2-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,brain_24mo,brain_24mo_2,2,H3.3
processed_heart_3mo_1-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,heart_3mo,heart_3mo_1,1,H3.2
processed_heart_3mo_1-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,heart_3mo,heart_3mo_1,1,H3.3
processed_heart_3mo_2-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,heart_3mo,heart_3mo_2,2,H3.2
processed_heart_3mo_2-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,heart_3mo,heart_3mo_2,2,H3.3
