filename,condition,sample_name,biorep,histone
brain_10mo_1-results_full_proteoform_Histone_H3.2_sorted_proteoform_interplay_scores.csv,brain_10mo,brain_10mo_1_H3.2,1,H3.2
brain_10mo_1-results_full_proteoform_Histone_H3.3_sorted_proteoform_interplay_scores.csv,brain_10mo,brain_10mo_1_H3.3,1,H3.3
brain_10mo_2-results_full_proteoform_Histone_H3.2_sorted_proteoform_interplay_scores.csv,brain_10mo,brain_10mo_2_H3.2,2,H3.2
brain_10mo_2-results_full_proteoform_Histone_H3.3_sorted_proteoform_interplay_scores.csv,brain_10mo,brain_10mo_2_H3.3,2,H3.3
brain_10mo_3-results_full_proteoform_Histone_H3.2_sorted_proteoform_interplay_scores.csv,brain_10mo,brain_10mo_3_H3.2,3,H3.2
brain_10mo_3-results_full_proteoform_Histone_H3.3_sorted_proteoform_interplay_scores.csv,brain_10mo,brain_10mo_3_H3.3,3,H3.3
brain_10mo_4-results_full_proteoform_Histone_H3.2_sorted_proteoform_interplay_scores.csv,brain_10mo,brain_10mo_4_H3.2,4,H3.2
brain_10mo_4-results_full_proteoform_Histone_H3.3_sorted_proteoform_interplay_scores.csv,brain_10mo,brain_10mo_4_H3.3,4,H3.3
brain_18mo_1-results_full_proteoform_Histone_H3.2_sorted_proteoform_interplay_scores.csv,brain_18mo,brain_18mo_1_H3.2,1,H3.2
brain_18mo_1-results_full_proteoform_Histone_H3.3_sorted_proteoform_interplay_scores.csv,brain_18mo,brain_18mo_1_H3.3,1,H3.3
brain_18mo_2-results_full_proteoform_Histone_H3.2_sorted_proteoform_interplay_scores.csv,brain_18mo,brain_18mo_2_H3.2,2,H3.2
brain_18mo_2-results_full_proteoform_Histone_H3.3_sorted_proteoform_interplay_scores.csv,brain_18mo,brain_18mo_2_H3.3,2,H3.3
brain_24mo_1-results_full_proteoform_Histone_H3.2_sorted_proteoform_interplay_scores.csv,brain_24mo,brain_24mo_1_H3.2,1,H3.2
brain_24mo_1-results_full_proteoform_Histone_H3.3_sorted_proteoform_interplay_scores.csv,brain_24mo,brain_24mo_1_H3.3,1,H3.3
brain_24mo_2-results_full_proteoform_Histone_H3.2_sorted_proteoform_interplay_scores.csv,brain_24mo,brain_24mo_2_H3.2,2,H3.2
brain_24mo_2-results_full_proteoform_Histone_H3.3_sorted_proteoform_interplay_scores.csv,brain_24mo,brain_24mo_2_H3.3,2,H3.3
brain_3mo_1-results_full_proteoform_Histone_H3.2_sorted_proteoform_interplay_scores.csv,brain_3mo,brain_3mo_1_H3.2,1,H3.2
brain_3mo_1-results_full_proteoform_Histone_H3.3_sorted_proteoform_interplay_scores.csv,brain_3mo,brain_3mo_1_H3.3,1,H3.3
brain_3mo_2-results_full_proteoform_Histone_H3.2_sorted_proteoform_interplay_scores.csv,brain_3mo,brain_3mo_2_H3.2,2,H3.2
brain_3mo_2-results_full_proteoform_Histone_H3.3_sorted_proteoform_interplay_scores.csv,brain_3mo,brain_3mo_2_H3.3,2,H3.3
brain_3mo_3-results_full_proteoform_Histone_H3.2_sorted_proteoform_interplay_scores.csv,brain_3mo,brain_3mo_3_H3.2,3,H3.2
