PTM_1,K4un,K4me1,R8me1,R8un,K9me3,K9un,K9me1,K9me2,K9ac,K14me2,K14un,K14me3,K14ac,K14me1,R17un,R17me2,R17me1,K18ac,K18un,K18me1,K18me2,K23me1,K23me3,K23me2,K23un,K23ac,R26un,R26me1,R26me2,K27me2,K27me3,K27me1,K27un,K27ac,K36me1,K36un,K36me3,K36me2
K4un,,,0.0024749781534536,-0.006156130333154,0.0039470205708418,0.082455815001203,-0.0069490748131018,0.0269553003258439,0.0016897038737676,0.0014735404991619,0.0852808837184602,0.0009686082069029,0.0144593231204301,-0.0802093311355811,-0.0061651869676085,0.0008967511385943,0.002265185661371,-0.0231346990551002,0.0197695818407959,0.0024818466668394,0.0072647006469032,0.0008209439149539,0.0008944777584345,0.0014668518769048,0.0580333929936004,-0.0334342226103769,0.0064541910830079,0.0026111403047663,0.001625936776553,0.0160629752755664,-0.0398930847196296,0.0032336409947539,0.0063416825024926,0.0308905845661603,0.0523782602529605,0.0331628387620628,0.002894340150474,-0.0988843195173913
K4me1,,,,0.0070679187055022,,,0.2436943085025362,,0.25,,0.0556544553116779,,0.064756350103399,0.203716906697937,0.0065822892540113,,,0.3371587004459311,-0.0115876788973395,,,,,,-0.0150082863108198,0.370017633817453,-0.0325552191034583,0.1136854068497637,,0.0516530739666122,0.1022671971257618,,,,,,,0.3794425686847331
R8me1,,,,,,0.062614747767203,0.2586147756132934,,,,-0.011415438061337,,0.0714848499938805,0.0079077864468431,-0.0534281851409087,,0.2621214792428359,,0.0181377276845073,,,,,,0.0095116924764001,,-0.0049665519003701,0.0748664350651475,,0.2164969630350579,,,,,,-0.0701405063106561,,0.2213015261452432
R8un,,,,,0.0165644082456951,-0.0116285059280286,-0.0382273524144464,0.037536232590793,0.0080460522206602,0.006083843667608,0.0034932361177665,0.0050363878060079,-0.0117572714724056,0.0047422893031587,0.3961088511933499,0.0027290321224782,-0.0812602342301288,0.007212996551731,-0.0193799570448018,0.0101517250108501,0.00577503892712,0.0024169029034501,0.0027975073511672,0.0062461095059621,-0.0136384341072493,0.0066430285947038,0.0145615200518161,-0.012505756754726,0.0065200565012614,-0.0449306341526187,0.0339432551789185,0.0125698912279911,0.0007552710459749,0.0104224913325956,0.0132728202603469,0.0286106155996014,0.0127526768967161,-0.0439332947655456
K9me3,,,,,,,,,,,0.0320263275989605,,0.1509964036535614,,0.0152950865827764,,,0.0021302367847684,0.0253750599165695,,,,,,0.0141836625133615,-0.0124466680545592,0.0416794978459652,,,0.3622249694621478,,,,0.0355064820754228,,-0.0597197315485722,,0.3454109969913115
K9un,,,,,,,,,,0.2467091564702215,0.0623801341314885,0.1004229267211666,0.1773473453986571,-0.0087293168583535,-0.0763958352236982,0.3214139940528324,0.2771880700109982,0.1075919003176461,-0.0501479176477591,0.0113969307090662,0.2347135018947129,0.0962197753809096,0.1849508334722983,0.2389662897960279,-0.1017065895633085,0.0798160329139798,0.0223478957503562,-0.1382211590960482,0.2396719870577154,0.1121279353339165,-0.0046210655114121,-0.0447397506382243,0.089125461324201,-0.1360658156560552,-0.0784195212026516,0.2275079958221692,0.1170467713636009,-0.1492501465974033
K9me1,,,,,,,,,,,-0.3110541993510092,,-0.0263458873766303,0.7159003644709249,0.0027364408112214,,0.0481185758434858,0.1655309554162502,-0.0462914145206529,0.235369082512793,,,,,0.0145199556749235,0.1992748281023585,-0.0765227916081016,0.1157571374261957,,0.3681428242758768,-0.1659064813949546,,,-0.0382982235208731,,-0.206496857071686,,0.4887577230439183
K9me2,,,,,,,,,,0.1069530468238555,0.3030703612113327,,-0.0721502705342988,,0.0327868890915611,,-0.0746290015648985,-0.0973931859544695,0.1041444046762151,-0.1068054283666922,,0.0219530626746147,0.0208844488282077,-0.0558211522620951,0.0524666043398342,-0.0265992798958259,-0.0571983966387749,0.1686390855096894,0.0154589079813942,-0.1799825451394129,0.21084591517674,0.2807769840252053,-0.0041069311461194,0.287333562093079,0.3507164527066257,0.2130471113542578,0.127791411263668,-0.1613065891231983
K9ac,,,,,,,,,,,0.0567638657791678,,,0.3388262881715922,0.0057925163644062,,,,0.0271230252206331,0.2260804441330809,,,,,0.0269557007040405,,0.0234197660730208,,,0.0925423905280702,0.1747090334895953,,,,,,,0.3202169575303982
K14me2,,,,,,,,,,,,,,,0.0058658429227835,,,,0.0114180755189118,,,,,,0.0062345587052085,,0.0159383566847311,,,,0.0777695823547297,0.0632602505336461,,,0.2253345935495141,0.004931972831926,,
