PTM_1,K4me1,K4un,R8un,R8me1,K9me2,K9ac,K9me3,K9un,K9me1,K14me3,K14me2,K14ac,K14un,K14me1,R17un,R17me2,R17me1,K18me1,K18un,K18ac,K23ac,K23me2,K23un,K23me3,R26un,R26me1,R26me2,K27un,K27ac,K27me2,K27me3,K27me1,K36me2,K36un,K36me1,K36me3
K4me1,,,0.0118815114985152,,,,,,0.1671255475816873,,,,0.0803366956662027,,0.0158591178701153,,,,,0.7543184247377254,0.814612884981049,,,,0.0138683072449261,,,,,,0.2785985936426536,,0.1527754908729225,,,
K4un,,,-0.0040260550819041,0.0015027361103298,0.0047745939885304,0.0010000919243277,0.0011978913859969,0.0020668284221266,-0.0067579925656322,0.001192724515285,0.0007825075262154,0.0011912198749207,-0.0051588821294082,0.0033547659208225,-0.0041326179493915,0.0007792196939489,0.0016314594363828,0.0011910889718578,0.0870515604592035,-0.0668303745499123,-0.090425538826802,0.0009995983115924,0.1219671112849679,0.0008195069912608,-0.0040832115487436,0.0013810070212614,0.0011106914766451,0.0010063466222419,0.0018708159882289,0.0049585824166921,-0.0097808102869246,0.0027870740999229,-0.0064569768028917,0.0027425973610947,0.0022034770990185,0.0025438336602765
R8un,,,,,0.0749598751877232,0.0157011812949842,0.0188065810409192,0.0324486649397247,-0.0979363591635435,0.0187254625239098,0.0122851632284282,0.0187018400642442,-0.0698962176127274,0.0526689463675831,-0.0387902713779302,0.012233545122903,0.0256134858835904,0.018699784920439,-0.0283695595808682,0.0157513208067885,0.0145854696354228,0.015693431704314,-0.0229921834489073,0.0128660451397437,-0.0364168466224569,0.0216814485578901,0.0174375653011315,0.0157993784141756,0.0293713210617953,-0.092862365542623,0.0426474209476993,0.0437563334539089,-0.0929142647365493,0.0430580603024453,0.034594013379614,0.0399375222544012
R8me1,,,,,,,,,0.3318534071703956,,,,0.1595208306773667,,0.0314907108821426,,,,0.0172625981935629,,,,0.0123208305460218,,0.0275376510504185,,,,,0.3030576047846091,,,0.3033591686724521,,,
K9me2,,,,,,,,,,,,,0.506840285504516,,0.0787102131800197,,-0.3088888570190481,,0.0548478851308824,,,,0.0391465694171845,,-0.0203791132139132,0.1878794010648993,,0.1431903088149524,0.3494678685198483,,-5.430166018307326e-05,0.5312575167599446,,0.0128685630489348,0.3424211994870924,0.5327853355463172
K9ac,,,,,,,,,,0.4691950865297209,,,,0.1752066570094442,0.0209575090583652,,,0.6654688403560548,-0.1916893806644068,,,,0.0081996852577012,,0.0183266923854207,,,,,-0.0396944270929746,0.2386259271782013,,0.2018897747080171,,,
K9me3,,,,,,,,,,,,0.3428223421875362,0.0658603962057822,,0.0251025120414254,,,,0.0137607112345606,,,,0.0098214295097815,,0.0219513690774663,,,,,0.1003273770006012,,0.1037147344264176,0.1009377109284324,0.0458036121449332,-0.0987301572893487,
K9un,,,,,,,,,,0.4919558770499892,0.3786030411805441,0.4893226280606793,-0.0437842310213436,-0.4868539745274973,-0.0411481208572626,0.3770122791069382,0.1160526256356684,0.3107380326688465,-0.0789588175305725,0.3847620977576552,0.3171987156787961,0.4836387485730314,-0.0942773871795532,0.3965046070044214,-0.082998149520359,0.0224816665747425,0.5373892988670821,0.0845776966452133,-0.1402662411474679,0.0072869170171944,0.2872602829072079,,-0.2591578433838034,0.4762133900840406,0.0045708345046379,
K9me1,,,,,,,,,,,,,-0.3554728450299159,0.6834525548242845,-0.055812210767331,,0.1892519481209379,-0.1592835822829866,0.0252399539537399,-0.0785560276805874,-0.0182615674372637,,0.0254747592540116,,0.0718631559757454,-0.2965052378820353,,,,0.6620260059492978,-0.174337570722328,,0.7907514870692104,-0.3448331687724578,,
K14me3,,,,,,,,,,,,,,,0.0249942372547653,,,,0.0137013570922042,,,,0.0097790666903508,,0.0218566861310012,,,,,0.2405373986061015,,,-0.1685985907848239,0.357439779682946,,
