PTM_1,K4un,K4me1,R8me1,R8un,K9me3,K9un,K9me1,K9me2,K9ac,K14me2,K14un,K14me3,K14ac,K14me1,R17un,R17me2,R17me1,K18ac,K18un,K18me1,K18me2,K23me1,K23me3,K23me2,K23un,K23ac,R26un,R26me1,R26me2,K27me2,K27me3,K27me1,K27un,K27ac,K36me1,K36un,K36me3,K36me2
K4un,,,0.0032918582157352,-0.0041693695045839,0.0064483131491281,0.0462922392423185,-0.0442593318020242,0.0068762797112047,-0.0372044281762319,0.0027981002727103,0.0255419302529462,0.0038636709645932,-0.0251158514820329,0.0063913352064265,-0.0081303724036095,0.0039211965989752,0.0037817577806815,-0.0214556893102125,0.0371863075573636,-0.0078350802803459,0.0038930529199374,0.0025389700090265,-0.0145067534341978,-0.0013130323444372,0.0327586777481962,-0.0186388886244131,-0.0109661014483343,0.0032769353296494,0.0051551361976144,-0.0105940140652284,0.0069431135250086,-0.0015382866790549,0.0063672660851076,0.0037416552906794,0.0089161695111718,0.0116075571255548,0.0065741887473645,-0.0227822861431263
K4me1,,,-0.0075142274889637,0.0017087635413328,,-0.2319274810785923,0.3847420287469564,-0.062762565956023,0.2978298547674559,-0.0181171230208571,-0.1808914815402946,,0.2207206377948582,-0.04747973623086,0.0035782765824717,,,0.2334011999443018,-0.171535837410466,0.1228730629447802,,0.045237328154464,0.2043993903544473,0.0326770053682724,-0.2107712224683385,0.213153383983654,0.0096362885929984,-0.0119790716919395,,0.0546382247335975,-0.0671797225968723,0.0246690524431749,-0.1723058927390734,,,-0.16114523072216,-0.0682151498883645,0.1131471950510317
R8me1,,,,,,-0.1098571169928157,0.2284423244076146,-0.0611127993765057,0.2247586075845775,,-0.057812329359544,,0.0736021860489416,0.0393886294971927,-0.0589399139667302,,0.5172553570488096,0.0697115955042409,-0.0224699248454261,,,0.0303984051381045,0.008570794151496,0.0938836828126754,-0.0342302229526349,0.0665299298545478,-0.0145765345901078,0.1218249521632648,,0.0584489593249137,,0.035558431262874,0.0353109879670244,0.0187724943909496,,,0.0371748414667646,0.0871810914864144
R8un,,,,,0.0029423895401984,0.0168396501349841,-0.0150396893102687,0.0037669274299519,-0.0083447221460366,0.0018223811066832,0.0034517746124804,0.001852563334476,-0.0037882090419187,0.0016825078986039,0.1028135342109092,0.0018491627261069,-0.0641496506697345,-0.0026071831521628,0.0024216511125868,0.0027749854612508,0.0020619865252027,0.0004815434400312,0.0013290268473305,-0.0037833955315913,0.0050889075465401,-0.002845725087709,0.0015360804319026,-0.002382690673357,0.0028444208947872,-0.0074587935155888,0.0065097706235993,0.001101286907699,-0.0007200598191257,0.0004906258272116,0.0046874395897763,0.0062463161282218,0.0018816877615432,-0.0114796366020649
K9me3,,,,,,,,,,-0.0813596926532199,-0.1853133958087444,0.2024139425741242,0.2027915145875921,,0.0045504672548748,,,-0.0640401299521007,0.0334304803103547,,,,,-0.0219369079398832,0.1074126564673614,-0.3048240464633597,0.0158272407697233,-0.0750602305000497,,0.1366087332481758,,-0.066595521033907,-0.0900002761065815,0.013868691855281,-0.0110880548841277,,,0.1412697986806904
K9un,,,,,,,,,,0.0546945411764411,0.1976547503742006,-0.0794246292821531,-0.0635293291189174,-0.4382329115113007,0.0025545323942821,-0.0333172776267696,0.0154248959655054,-0.0386217258143812,0.0717345220672778,-0.2062401717241785,0.058877450465444,-0.1222955027932349,0.0636060856243621,-0.0915259476634127,0.0243677969098661,-0.007916539207936,-0.031328042411393,0.020576608335364,0.0785449664965474,-0.0392470224198895,0.1371106174555709,-0.0537203985948919,-0.0754389339730279,-0.096179342748544,0.0856612027914484,0.0799891297968204,-0.0332232210664345,-0.0927699481592354
K9me1,,,,,,,,,,,-0.360628639012947,,0.095728339488944,0.6401166552744055,0.00366864310911,,0.0168876369347719,0.1712440567559658,-0.1214151095231877,0.3045477505845528,,-0.0176728133942151,-0.1903700970534677,0.186380444560035,-0.0904792087945766,0.1468371213733516,0.017489304138712,-0.0619080526031544,,0.1350729305624041,-0.2981847560386156,-0.0112914624923704,-0.2105660589872391,-0.0893669391310019,,-0.3314818131139829,-0.16315220466329,0.208583915389215
K9me2,,,,,,,,,,-0.0501108626494242,0.0814845163380513,,-0.1134014302028465,-0.1299940425770644,0.0051685089593786,,-0.0517149579070067,-0.0484635108660896,-0.0019725695166204,0.1660505153463005,,0.3996651056262763,-0.0313361447341244,0.0986763141383063,-0.0250914049036315,-0.069238230711227,0.0089737461684691,-0.0338108608988466,-0.0622435070076072,-0.3305149705382331,-0.1531596550371211,0.3060624109782832,0.4583282306933965,0.3238427845381122,0.0566722560336917,0.1755815836086207,0.3474382712040741,-0.2836393272074662
K9ac,,,,,,,,,,,-0.1191766629791977,0.4485417876671361,-0.0544746910700066,0.178896428320665,-0.0394304230373954,0.3183120283245561,0.061449997501315,-0.1032766907233038,0.0091059561581405,0.1727497030449392,,0.0581519026084803,0.1996076730617949,0.0959309241771597,-0.0028122065641736,-0.0374687791725459,-0.0016940428580884,0.0991872249515929,,0.076998162008164,-0.1040100949667377,-0.0154356257262804,-0.055471781208926,,,-0.1292457221100863,,0.1027717162016594
K14me2,,,,,,,,,,,,,,,-0.0240790441567628,,0.1352936728459125,0.0753819745084719,-0.0609895561420183,,,0.0375064212226883,,,-0.0451327680438551,0.0622672922378033,0.0045247453188593,0.034572388744242,,-0.1172741547814047,-0.0057289089768004,0.1898547213803551,0.1424335584336503,,0.0782777592653461,0.0797921103545225,,-0.0984789840263876
