PTM_1,K4me1,K4un,R8un,R8me1,K9me2,K9ac,K9me3,K9un,K9me1,K14me3,K14me2,K14ac,K14un,K14me1,R17un,R17me2,R17me1,K18me1,K18un,K18me2,K18ac,K23ac,K23me2,K23un,K23me3,K23me1,R26un,R26me1,R26me2,K27un,K27ac,K27me2,K27me3,K27me1,K36me2,K36un,K36me1,K36me3
K4me1,,,0.0039293615541333,,,,,,0.5480647107752561,,,0.3568781521407654,-0.3360241740367489,,0.0074909481334525,,,-0.0697187264332397,0.0166524369302872,,-0.0252702614820145,-0.0535559827809846,,0.0186377402797582,0.0741649697519438,,0.0453817985341638,,,,,0.2156281700197516,,,0.2515358898592784,,,
K4un,,,-0.0091559611327266,0.0056311462133187,0.0194416813541713,0.0048624011423534,0.0076835470919293,0.0359723739121628,-0.0791684135749913,0.0044653673880255,0.0046003955425739,-0.0472347315107821,0.0576010990323855,0.0084337515078069,-0.0127958692516166,0.0059004985836604,0.0050261227401394,0.005400885631092,-0.0074420490915013,0.0049626375561016,0.0020833699764873,0.0028619493112412,0.0073986353758901,-0.009090895375839,-0.0039370264332846,0.0063086443264159,-0.0222318918996562,0.0080953287659107,0.0102588147485786,0.0116418371013648,0.005298811102582,-0.034968698799441,0.0219201838349081,0.008857806231462,-0.03787653906562,0.0265310446916774,0.0109247782885305,0.0092742903608069
R8un,,,,,0.0121170146482088,0.0030175075736346,0.004757017848754,0.0148998698501338,-0.0390743016807353,0.0027624869674126,0.002848250113545,0.0040658390072676,-0.0052315790439168,8.908087327649979e-05,0.0844361468702629,0.0036627765395839,-0.107933019736986,0.0037555982666007,-0.0143265208315721,0.0030799095589974,0.0067732489909521,0.0042002760727901,0.0045810242319819,-0.013296992840935,0.0040874247872307,0.0038988267723246,-0.0126611923566387,0.0028559816894117,0.006355678715463,0.0072035507039476,0.0032752460408404,-0.0214890871502419,0.013067655650769,0.0055065154864905,-0.0233079153144287,0.015859588351677,0.0068358924753438,0.0057428489269209
R8me1,,,,,,,,-0.1818238938483184,0.4219534649163399,,,-0.0648731793846868,0.0354896112429566,0.0401117033135402,-0.0600726241917228,,0.5995667886470214,,0.0357102863244471,,,-0.0619821265399949,,0.0371375398604347,,,0.0362673721705196,-0.0114843004796575,,,,0.1878527848699281,-0.3787246185607866,,0.2198154725081726,-0.3977500077642139,,
K9me2,,,,,,,,,,-0.1160957345939355,0.0207627970046735,-0.1317619626466866,0.1317589704857798,-0.1873533508539862,0.024536242525678,,,-0.0585113380298742,0.0373180324286626,,-0.1312796238007691,-0.2278971937896487,-0.0487888346152066,0.0801147156344743,-0.0979792824058949,-0.0964047166899186,0.0677783464894871,0.0543826428220123,,0.1630908077699722,0.1644496307627056,-0.27504694383014,0.3114254286153243,0.2738737659121507,-0.2556930444906682,0.0414738286635803,0.3247618317682531,0.4140226119200147
K9ac,,,,,,,,,,0.2438806054553481,,,0.0152424232898947,0.1722176093394555,-0.0517782245715534,0.3011061128203646,,0.311198051376414,-0.0485682353855959,0.2003354326923069,,0.1703197224087869,0.1729248905163994,-0.0703324881008338,,0.1523470092905527,0.0216110600639113,0.0889338627815072,,0.0966872205916989,,0.0636022348182825,-0.0604582194815947,0.0789180441168483,0.1737291388237486,-0.2016233200360766,,
K9me3,,,,,,,,,,0.2186381753142981,,0.2346068628318023,-0.1115853042935458,,0.0091439165033335,,,,0.0247111659006846,,-0.0707115286675221,-0.171164820626517,-0.0622853563980694,0.0387909359615033,,,0.0554486108134791,,,,,0.2621175907037659,,-0.1495572577710377,0.3020238481869343,-0.2113885512624181,,
K9un,,,,,,,,,,0.0142405036520073,0.0917483977167921,-0.0379553980774377,0.1023178541276191,-0.4858840855797548,-0.020109386453995,0.1405190074620876,-0.0288088562558361,0.0187226977021546,-0.0200059392056195,0.1297873472594475,0.0445030186600665,0.0960557511871908,0.1151087665374527,-0.0625427901922996,0.0548764778606223,-0.0123808539601308,-0.1234290441254254,0.0037767396605057,0.2907120370359568,-0.0619671678910552,-0.0841889883156208,0.2174178801301482,-0.1016007768039896,-0.2190442154470446,0.091487583689393,0.133293009498296,-0.1659910373340164,-0.3771551752983887
K9me1,,,,,,,,,,,,0.1663895864518984,-0.371998893339846,0.6827025818478308,-0.0045667010568666,,0.258635643449296,0.1205443892158507,-0.0306313640158397,,0.1180471671309023,0.0456198307006808,0.0114761172118391,-0.0198451518175139,0.0600731659241885,0.1348857942201851,0.0734395972830224,-0.2150317609751363,,-0.0751900424514992,,0.2023944327331787,-0.2049807653004591,-0.184634338254967,0.3081772833073508,-0.2073486264216833,,-0.2162380303307606
K14me3,,,,,,,,,,,,,,,0.0052774966384495,,,,0.0283471947332723,,,0.1987127756211104,,-0.0232904476645644,,,0.0319800109978802,,,-0.050458745044143,,0.1465436547007449,,,-0.0163441174398499,0.0194980626442621,,
